Player,starting_11,team,game,Season
David de Gea,Y,Manchester Utd,Manchester Utd vs Leicester City,2018
Victor Lindelöf,Y,Manchester Utd,Manchester Utd vs Leicester City,2018
Eric Bailly,Y,Manchester Utd,Manchester Utd vs Leicester City,2018
Paul Pogba,Y,Manchester Utd,Manchester Utd vs Leicester City,2018
Alexis Sánchez,Y,Manchester Utd,Manchester Utd vs Leicester City,2018
Juan Mata,Y,Manchester Utd,Manchester Utd vs Leicester City,2018
Marcus Rashford,Y,Manchester Utd,Manchester Utd vs Leicester City,2018
Andreas Pereira,Y,Manchester Utd,Manchester Utd vs Leicester City,2018
Fred,Y,Manchester Utd,Manchester Utd vs Leicester City,2018
Luke Shaw,Y,Manchester Utd,Manchester Utd vs Leicester City,2018
Matteo Darmian,Y,Manchester Utd,Manchester Utd vs Leicester City,2018
Kasper Schmeichel,Y,Leicester City,Manchester Utd vs Leicester City,2018
Ben Chilwell,Y,Leicester City,Manchester Utd vs Leicester City,2018
Wes Morgan,Y,Leicester City,Manchester Utd vs Leicester City,2018
Demarai Gray,Y,Leicester City,Manchester Utd vs Leicester City,2018
Kelechi Iheanacho,Y,Leicester City,Manchester Utd vs Leicester City,2018
James Maddison,Y,Leicester City,Manchester Utd vs Leicester City,2018
Ricardo Pereira,Y,Leicester City,Manchester Utd vs Leicester City,2018
Harry Maguire,Y,Leicester City,Manchester Utd vs Leicester City,2018
Daniel Amartey,Y,Leicester City,Manchester Utd vs Leicester City,2018
Adrien Silva,Y,Leicester City,Manchester Utd vs Leicester City,2018
Wilfred Ndidi,Y,Leicester City,Manchester Utd vs Leicester City,2018
Martin Dúbravka,Y,Newcastle Utd,Newcastle Utd vs Tottenham,2018
Ciaran Clark,Y,Newcastle Utd,Newcastle Utd vs Tottenham,2018
Paul Dummett,Y,Newcastle Utd,Newcastle Utd vs Tottenham,2018
Jamaal Lascelles,Y,Newcastle Utd,Newcastle Utd vs Tottenham,2018
Jonjo Shelvey,Y,Newcastle Utd,Newcastle Utd vs Tottenham,2018
Mohamed Diamé,Y,Newcastle Utd,Newcastle Utd vs Tottenham,2018
Matt Ritchie,Y,Newcastle Utd,Newcastle Utd vs Tottenham,2018
Kenedy,Y,Newcastle Utd,Newcastle Utd vs Tottenham,2018
Ayoze Pérez,Y,Newcastle Utd,Newcastle Utd vs Tottenham,2018
Joselu,Y,Newcastle Utd,Newcastle Utd vs Tottenham,2018
DeAndre Yedlin,Y,Newcastle Utd,Newcastle Utd vs Tottenham,2018
Hugo Lloris,Y,Tottenham,Newcastle Utd vs Tottenham,2018
Jan Vertonghen,Y,Tottenham,Newcastle Utd vs Tottenham,2018
Davinson Sánchez,Y,Tottenham,Newcastle Utd vs Tottenham,2018
Harry Kane,Y,Tottenham,Newcastle Utd vs Tottenham,2018
Eric Dier,Y,Tottenham,Newcastle Utd vs Tottenham,2018
Moussa Sissoko,Y,Tottenham,Newcastle Utd vs Tottenham,2018
Dele Alli,Y,Tottenham,Newcastle Utd vs Tottenham,2018
Christian Eriksen,Y,Tottenham,Newcastle Utd vs Tottenham,2018
Serge Aurier,Y,Tottenham,Newcastle Utd vs Tottenham,2018
Lucas Moura,Y,Tottenham,Newcastle Utd vs Tottenham,2018
Ben Davies,Y,Tottenham,Newcastle Utd vs Tottenham,2018
Fabricio,Y,Fulham,Fulham vs Crystal Palace,2018
Ryan Sessegnon,Y,Fulham,Fulham vs Crystal Palace,2018
Calum Chambers,Y,Fulham,Fulham vs Crystal Palace,2018
Kevin McDonald,Y,Fulham,Fulham vs Crystal Palace,2018
Aleksandar Mitrović,Y,Fulham,Fulham vs Crystal Palace,2018
Tom Cairney,Y,Fulham,Fulham vs Crystal Palace,2018
André Schürrle,Y,Fulham,Fulham vs Crystal Palace,2018
Maxime Le Marchand,Y,Fulham,Fulham vs Crystal Palace,2018
Cyrus Christie,Y,Fulham,Fulham vs Crystal Palace,2018
Joe Bryan,Y,Fulham,Fulham vs Crystal Palace,2018
Jean Seri,Y,Fulham,Fulham vs Crystal Palace,2018
Wayne Hennessey,Y,Crystal Palace,Fulham vs Crystal Palace,2018
Patrick van Aanholt,Y,Crystal Palace,Fulham vs Crystal Palace,2018
Luka Milivojević,Y,Crystal Palace,Fulham vs Crystal Palace,2018
James Tomkins,Y,Crystal Palace,Fulham vs Crystal Palace,2018
Andros Townsend,Y,Crystal Palace,Fulham vs Crystal Palace,2018
Wilfried Zaha,Y,Crystal Palace,Fulham vs Crystal Palace,2018
Mamadou Sakho,Y,Crystal Palace,Fulham vs Crystal Palace,2018
Jeffrey Schlupp,Y,Crystal Palace,Fulham vs Crystal Palace,2018
Christian Benteke,Y,Crystal Palace,Fulham vs Crystal Palace,2018
James McArthur,Y,Crystal Palace,Fulham vs Crystal Palace,2018
Aaron Wan-Bissaka,Y,Crystal Palace,Fulham vs Crystal Palace,2018
Asmir Begović,Y,Bournemouth,Bournemouth vs Cardiff City,2018
Steve Cook,Y,Bournemouth,Bournemouth vs Cardiff City,2018
Dan Gosling,Y,Bournemouth,Bournemouth vs Cardiff City,2018
Nathan Aké,Y,Bournemouth,Bournemouth vs Cardiff City,2018
Andrew Surman,Y,Bournemouth,Bournemouth vs Cardiff City,2018
Charlie Daniels,Y,Bournemouth,Bournemouth vs Cardiff City,2018
Callum Wilson,Y,Bournemouth,Bournemouth vs Cardiff City,2018
Adam Smith,Y,Bournemouth,Bournemouth vs Cardiff City,2018
Joshua King,Y,Bournemouth,Bournemouth vs Cardiff City,2018
David Brooks,Y,Bournemouth,Bournemouth vs Cardiff City,2018
Ryan Fraser,Y,Bournemouth,Bournemouth vs Cardiff City,2018
Neil Etheridge,Y,Cardiff City,Bournemouth vs Cardiff City,2018
Lee Peltier,Y,Cardiff City,Bournemouth vs Cardiff City,2018
Joe Bennett,Y,Cardiff City,Bournemouth vs Cardiff City,2018
Sean Morrison,Y,Cardiff City,Bournemouth vs Cardiff City,2018
Bruno Ecuele Manga,Y,Cardiff City,Bournemouth vs Cardiff City,2018
Joe Ralls,Y,Cardiff City,Bournemouth vs Cardiff City,2018
Callum Paterson,Y,Cardiff City,Bournemouth vs Cardiff City,2018
Bobby Reid,Y,Cardiff City,Bournemouth vs Cardiff City,2018
Nathaniel Mendez-Laing,Y,Cardiff City,Bournemouth vs Cardiff City,2018
Sol Bamba,Y,Cardiff City,Bournemouth vs Cardiff City,2018
Junior Hoilett,Y,Cardiff City,Bournemouth vs Cardiff City,2018
Ben Foster,Y,Watford,Watford vs Brighton,2018
Daryl Janmaat,Y,Watford,Watford vs Brighton,2018
Troy Deeney,Y,Watford,Watford vs Brighton,2018
Craig Cathcart,Y,Watford,Watford vs Brighton,2018
Abdoulaye Doucouré,Y,Watford,Watford vs Brighton,2018
Andre Gray,Y,Watford,Watford vs Brighton,2018
Will Hughes,Y,Watford,Watford vs Brighton,2018
José Holebas,Y,Watford,Watford vs Brighton,2018
Christian Kabasele,Y,Watford,Watford vs Brighton,2018
Étienne Capoue,Y,Watford,Watford vs Brighton,2018
Roberto Pereyra,Y,Watford,Watford vs Brighton,2018
Mathew Ryan,Y,Brighton,Watford vs Brighton,2018
Bruno,Y,Brighton,Watford vs Brighton,2018
Shane Duffy,Y,Brighton,Watford vs Brighton,2018
Lewis Dunk,Y,Brighton,Watford vs Brighton,2018
Dale Stephens,Y,Brighton,Watford vs Brighton,2018
Anthony Knockaert,Y,Brighton,Watford vs Brighton,2018
Pascal Groß,Y,Brighton,Watford vs Brighton,2018
Glenn Murray,Y,Brighton,Watford vs Brighton,2018
Solly March,Y,Brighton,Watford vs Brighton,2018
Davy Pröpper,Y,Brighton,Watford vs Brighton,2018
Bernardo,Y,Brighton,Watford vs Brighton,2018
Ben Hamer,Y,Huddersfield,Huddersfield vs Chelsea,2018
Terence Kongolo,Y,Huddersfield,Huddersfield vs Chelsea,2018
Jonathan Hogg,Y,Huddersfield,Huddersfield vs Chelsea,2018
Philip Billing,Y,Huddersfield,Huddersfield vs Chelsea,2018
Aaron Mooy,Y,Huddersfield,Huddersfield vs Chelsea,2018
