Player,team,starting_11,game,Season,Wk
Matz Sels,Nott'ham Forest,Y,Nott'ham Forest vs Brighton,2024,24
Felipe Rodrigues Da Silva,Nott'ham Forest,Y,Nott'ham Forest vs Brighton,2024,24
Nikola Milenkovic,Nott'ham Forest,Y,Nott'ham Forest vs Brighton,2024,24
Murillo,Nott'ham Forest,Y,Nott'ham Forest vs Brighton,2024,24
Temitayo Olufisayo Olaoluwa Aina,Nott'ham Forest,Y,Nott'ham Forest vs Brighton,2024,24
Elliot Anderson,Nott'ham Forest,Y,Nott'ham Forest vs Brighton,2024,24
Danilo dos Santos de Oliveira,Nott'ham Forest,Y,Nott'ham Forest vs Brighton,2024,24
Neco Williams,Nott'ham Forest,Y,Nott'ham Forest vs Brighton,2024,24
Morgan Gibbs-White,Nott'ham Forest,Y,Nott'ham Forest vs Brighton,2024,24
Anthony Elanga,Nott'ham Forest,Y,Nott'ham Forest vs Brighton,2024,24
Chris Wood,Nott'ham Forest,Y,Nott'ham Forest vs Brighton,2024,24
Bart Verbruggen,Brighton,Y,Nott'ham Forest vs Brighton,2024,24
Joël Veltman,Brighton,Y,Nott'ham Forest vs Brighton,2024,24
Jan Paul van Hecke,Brighton,Y,Nott'ham Forest vs Brighton,2024,24
Lewis Dunk,Brighton,Y,Nott'ham Forest vs Brighton,2024,24
Tariq Lamptey,Brighton,Y,Nott'ham Forest vs Brighton,2024,24
Jack Hinshelwood,Brighton,Y,Nott'ham Forest vs Brighton,2024,24
Yankuba Minteh,Brighton,Y,Nott'ham Forest vs Brighton,2024,24
Georginio Rutter,Brighton,Y,Nott'ham Forest vs Brighton,2024,24
João Pedro,Brighton,Y,Nott'ham Forest vs Brighton,2024,24
Kaoru Mitoma,Brighton,Y,Nott'ham Forest vs Brighton,2024,24
Danny Welbeck,Brighton,Y,Nott'ham Forest vs Brighton,2024,24
Kepa Arrizabalaga,Bournemouth,Y,Bournemouth vs Liverpool,2024,24
Lewis Cook,Bournemouth,Y,Bournemouth vs Liverpool,2024,24
Illia Zabarnyi,Bournemouth,Y,Bournemouth vs Liverpool,2024,24
Dean Huijsen,Bournemouth,Y,Bournemouth vs Liverpool,2024,24
Milos Kerkez,Bournemouth,Y,Bournemouth vs Liverpool,2024,24
Ryan Christie,Bournemouth,Y,Bournemouth vs Liverpool,2024,24
Tyler Adams,Bournemouth,Y,Bournemouth vs Liverpool,2024,24
David Brooks,Bournemouth,Y,Bournemouth vs Liverpool,2024,24
Justin Kluivert,Bournemouth,Y,Bournemouth vs Liverpool,2024,24
Antoine Semenyo,Bournemouth,Y,Bournemouth vs Liverpool,2024,24
Dango Ouattara,Bournemouth,Y,Bournemouth vs Liverpool,2024,24
Alisson Becker,Liverpool,Y,Bournemouth vs Liverpool,2024,24
Trent Alexander-Arnold,Liverpool,Y,Bournemouth vs Liverpool,2024,24
Ibrahima Konate,Liverpool,Y,Bournemouth vs Liverpool,2024,24
Virgil van Dijk,Liverpool,Y,Bournemouth vs Liverpool,2024,24
Andrew Robertson,Liverpool,Y,Bournemouth vs Liverpool,2024,24
Ryan Gravenberch,Liverpool,Y,Bournemouth vs Liverpool,2024,24
Alexis Mac Allister,Liverpool,Y,Bournemouth vs Liverpool,2024,24
Mohamed Salah,Liverpool,Y,Bournemouth vs Liverpool,2024,24
Dominik Szoboszlai,Liverpool,Y,Bournemouth vs Liverpool,2024,24
Cody Gakpo,Liverpool,Y,Bournemouth vs Liverpool,2024,24
Luis Díaz,Liverpool,Y,Bournemouth vs Liverpool,2024,24
Jordan Pickford,Everton,Y,Everton vs Leicester City,2024,24
Jake O'Brien,Everton,Y,Everton vs Leicester City,2024,24
James Tarkowski,Everton,Y,Everton vs Leicester City,2024,24
Jarrad Branthwaite,Everton,Y,Everton vs Leicester City,2024,24
Vitaliy Mykolenko,Everton,Y,Everton vs Leicester City,2024,24
James Garner,Everton,Y,Everton vs Leicester City,2024,24
Idrissa Gueye,Everton,Y,Everton vs Leicester City,2024,24
Jesper Lindstrom,Everton,Y,Everton vs Leicester City,2024,24
Abdoulaye Doucouré,Everton,Y,Everton vs Leicester City,2024,24
Iliman Ndiaye,Everton,Y,Everton vs Leicester City,2024,24
Beto,Everton,Y,Everton vs Leicester City,2024,24
Mads Hermansen,Leicester City,Y,Everton vs Leicester City,2024,24
James Justin,Leicester City,Y,Everton vs Leicester City,2024,24
Wout Faes,Leicester City,Y,Everton vs Leicester City,2024,24
Jannik Vestergaard,Leicester City,Y,Everton vs Leicester City,2024,24
Victor Kristiansen,Leicester City,Y,Everton vs Leicester City,2024,24
Harry Winks,Leicester City,Y,Everton vs Leicester City,2024,24
Boubakary Soumare,Leicester City,Y,Everton vs Leicester City,2024,24
Jordan Ayew,Leicester City,Y,Everton vs Leicester City,2024,24
Bilal El Khannouss,Leicester City,Y,Everton vs Leicester City,2024,24
Bobby Reid,Leicester City,Y,Everton vs Leicester City,2024,24
Jamie Vardy,Leicester City,Y,Everton vs Leicester City,2024,24
Arijanet Muric,Ipswich Town,Y,Ipswich Town vs Southampton,2024,24
Axel Tuanzebe,Ipswich Town,Y,Ipswich Town vs Southampton,2024,24
Dara O'Shea,Ipswich Town,Y,Ipswich Town vs Southampton,2024,24
Jacob Greaves,Ipswich Town,Y,Ipswich Town vs Southampton,2024,24
Leif Davis,Ipswich Town,Y,Ipswich Town vs Southampton,2024,24
Sam Morsy,Ipswich Town,Y,Ipswich Town vs Southampton,2024,24
Jens Cajuste,Ipswich Town,Y,Ipswich Town vs Southampton,2024,24
Omari Hutchinson,Ipswich Town,Y,Ipswich Town vs Southampton,2024,24
Julio Enciso,Ipswich Town,Y,Ipswich Town vs Southampton,2024,24
Nathan Broadhead,Ipswich Town,Y,Ipswich Town vs Southampton,2024,24
Liam Delap,Ipswich Town,Y,Ipswich Town vs Southampton,2024,24
Aaron Ramsdale,Southampton,Y,Ipswich Town vs Southampton,2024,24
James Bree,Southampton,Y,Ipswich Town vs Southampton,2024,24
Jan Bednarek,Southampton,Y,Ipswich Town vs Southampton,2024,24
Taylor Harwood-Bellis,Southampton,Y,Ipswich Town vs Southampton,2024,24
Kyle Walker-Peters,Southampton,Y,Ipswich Town vs Southampton,2024,24
Chimuanya Ugochukwu,Southampton,Y,Ipswich Town vs Southampton,2024,24
Joe Aribo,Southampton,Y,Ipswich Town vs Southampton,2024,24
Welington Damascena Santos,Southampton,Y,Ipswich Town vs Southampton,2024,24
Mateus Fernandes,Southampton,Y,Ipswich Town vs Southampton,2024,24
Albert Gronbaek Erlykke,Southampton,Y,Ipswich Town vs Southampton,2024,24
Ebere Paul Onuachu,Southampton,Y,Ipswich Town vs Southampton,2024,24
Martin Dubravka,Newcastle Utd,Y,Newcastle Utd vs Fulham,2024,24
Valentino Livramento,Newcastle Utd,Y,Newcastle Utd vs Fulham,2024,24
Fabian Schär,Newcastle Utd,Y,Newcastle Utd vs Fulham,2024,24
Dan Burn,Newcastle Utd,Y,Newcastle Utd vs Fulham,2024,24
Lewis Hall,Newcastle Utd,Y,Newcastle Utd vs Fulham,2024,24
Bruno Guimarães,Newcastle Utd,Y,Newcastle Utd vs Fulham,2024,24
Sandro Tonali,Newcastle Utd,Y,Newcastle Utd vs Fulham,2024,24
Joelinton,Newcastle Utd,Y,Newcastle Utd vs Fulham,2024,24
Jacob Murphy,Newcastle Utd,Y,Newcastle Utd vs Fulham,2024,24
Alexander Isak,Newcastle Utd,Y,Newcastle Utd vs Fulham,2024,24
Anthony Gordon,Newcastle Utd,Y,Newcastle Utd vs Fulham,2024,24
Bernd Leno,Fulham,Y,Newcastle Utd vs Fulham,2024,24
Timoty Castagne,Fulham,Y,Newcastle Utd vs Fulham,2024,24
Joachim Andersen,Fulham,Y,Newcastle Utd vs Fulham,2024,24
Calvin Ughelumba,Fulham,Y,Newcastle Utd vs Fulham,2024,24
Antonee Robinson,Fulham,Y,Newcastle Utd vs Fulham,2024,24
Sasa Lukic,Fulham,Y,Newcastle Utd vs Fulham,2024,24
Sander Berge,Fulham,Y,Newcastle Utd vs Fulham,2024,24
Adama Traore,Fulham,Y,Newcastle Utd vs Fulham,2024,24
Emile Smith-Rowe,Fulham,Y,Newcastle Utd vs Fulham,2024,24
Alex Iwobi,Fulham,Y,Newcastle Utd vs Fulham,2024,24
Raúl Jiménez,Fulham,Y,Newcastle Utd vs Fulham,2024,24
José Sá,Wolves,Y,Wolves vs Aston Villa,2024,24
Matt Doherty,Wolves,Y,Wolves vs Aston Villa,2024,24
Emmanuel Agbadou,Wolves,Y,Wolves vs Aston Villa,2024,24
Tote António Gomes,Wolves,Y,Wolves vs Aston Villa,2024,24
Nelson Cabral Semedo,Wolves,Y,Wolves vs Aston Villa,2024,24
André,Wolves,Y,Wolves vs Aston Villa,2024,24
Jeanricner Bellegarde,Wolves,Y,Wolves vs Aston Villa,2024,24
Rayan Ait Nouri,Wolves,Y,Wolves vs Aston Villa,2024,24
Pablo Sarabia,Wolves,Y,Wolves vs Aston Villa,2024,24
Matheus Cunha,Wolves,Y,Wolves vs Aston Villa,2024,24
Goncalo Guedes,Wolves,Y,Wolves vs Aston Villa,2024,24
Emiliano Martinez,Aston Villa,Y,Wolves vs Aston Villa,2024,24
Andrés García,Aston Villa,Y,Wolves vs Aston Villa,2024,24
Ezri Konsa,Aston Villa,Y,Wolves vs Aston Villa,2024,24
Boubacar Kamara,Aston Villa,Y,Wolves vs Aston Villa,2024,24
Lucas Digne,Aston Villa,Y,Wolves vs Aston Villa,2024,24
Lamar Bogarde,Aston Villa,Y,Wolves vs Aston Villa,2024,24
Youri Tielemans,Aston Villa,Y,Wolves vs Aston Villa,2024,24
Morgan Rogers,Aston Villa,Y,Wolves vs Aston Villa,2024,24
John McGinn,Aston Villa,Y,Wolves vs Aston Villa,2024,24
Jacob Ramsey,Aston Villa,Y,Wolves vs Aston Villa,2024,24
Ollie Watkins,Aston Villa,Y,Wolves vs Aston Villa,2024,24
Hákon Rafn Valdimarsson,Brentford,Y,Brentford vs Spurs,2024,24
Kristoffer Ajer,Brentford,Y,Brentford vs Spurs,2024,24
Nathan Collins,Brentford,Y,Brentford vs Spurs,2024,24
Sepp van den Berg,Brentford,Y,Brentford vs Spurs,2024,24
Keane Lewis-Potter,Brentford,Y,Brentford vs Spurs,2024,24
Christian Norgaard,Brentford,Y,Brentford vs Spurs,2024,24
Vitaly Janelt,Brentford,Y,Brentford vs Spurs,2024,24
Bryan Mbeumo,Brentford,Y,Brentford vs Spurs,2024,24
Mikkel Damsgaard,Brentford,Y,Brentford vs Spurs,2024,24
Kevin Schade,Brentford,Y,Brentford vs Spurs,2024,24
Yoane Wissa,Brentford,Y,Brentford vs Spurs,2024,24
Antonín Kinsky,Spurs,Y,Brentford vs Spurs,2024,24
Pedro Porro,Spurs,Y,Brentford vs Spurs,2024,24
Archie Gray,Spurs,Y,Brentford vs Spurs,2024,24
Ben Davies,Spurs,Y,Brentford vs Spurs,2024,24
Djed Spence,Spurs,Y,Brentford vs Spurs,2024,24
Yves Bissouma,Spurs,Y,Brentford vs Spurs,2024,24
Rodrigo Bentancur,Spurs,Y,Brentford vs Spurs,2024,24
Mikey Moore,Spurs,Y,Brentford vs Spurs,2024,24
Dejan Kulusevski,Spurs,Y,Brentford vs Spurs,2024,24
Heung-Min Son,Spurs,Y,Brentford vs Spurs,2024,24
Richarlison,Spurs,Y,Brentford vs Spurs,2024,24
André Onana,Manchester Utd,Y,Manchester Utd vs Crystal Palace,2024,24
Leny Yoro,Manchester Utd,Y,Manchester Utd vs Crystal Palace,2024,24
Harry Maguire,Manchester Utd,Y,Manchester Utd vs Crystal Palace,2024,24
