eventName,marketType,date,under,over,timestamp
Everton vs Arsenal,OVER_UNDER_35,2025-04-05T11:30:00.000Z,1.01,1.01,2025-04-03 15:32:24.370825
Everton vs Arsenal,OVER_UNDER_25,2025-04-05T11:30:00.000Z,1.01,1.01,2025-04-03 15:32:24.370825
Ipswich Town vs Wolves,OVER_UNDER_35,2025-04-05T14:00:00.000Z,1.01,1.01,2025-04-03 15:32:24.370825
Ipswich Town vs Wolves,OVER_UNDER_25,2025-04-05T14:00:00.000Z,1.01,1.01,2025-04-03 15:32:24.370825
West Ham vs Bournemouth,OVER_UNDER_35,2025-04-05T14:00:00.000Z,1.01,1.01,2025-04-03 15:32:24.370825
West Ham vs Bournemouth,OVER_UNDER_25,2025-04-05T14:00:00.000Z,1.01,1.01,2025-04-03 15:32:24.370825
Chelsea vs Tottenham,OVER_UNDER_25,2025-04-03T19:00:00.000Z,4.8,1.17,2025-04-03 15:32:24.370825
Chelsea vs Tottenham,OVER_UNDER_35,2025-04-03T19:00:00.000Z,2.96,1.4,2025-04-03 15:32:24.370825
Crystal Palace vs Brighton,OVER_UNDER_25,2025-04-05T14:00:00.000Z,1.01,1.01,2025-04-03 15:32:24.370825
Crystal Palace vs Brighton,OVER_UNDER_35,2025-04-05T14:00:00.000Z,1.01,1.01,2025-04-03 15:32:24.370825
